Area,Objective,ISO 12207 (section key),ISO 29148 (section key),ISO 15289 (section key),ISO 10007 (section key),IEEE 828 (section key),EIA-649C (section key, optional)
Requirements,"Define, analyze, and manage requirements","Requirements_Definition","Requirements_Process;System/Software_Requirements_Spec","Specifications;Information_Items","","",""
Architecture/Design,"Describe structure & rationale; tie to decisions","Requirements_Definition (handoff)","System/Software_Requirements_Spec","Specifications;Reports","","",""
Verification,"Confirm outputs meet specified inputs","Verification","","Reports","","",""
Validation,"Confirm product meets intended use","Validation","","Reports","","",""
Testing (process),"Plan/execute tests; monitor & control","Test_Process","Requirements_Process (V&V coverage)","Reports","",,""
Test Documentation,"Provide plans, procedures, reports","Test_Process","","Plans;Reports","",,""
CM Planning,"Plan configuration management activities","","","Plans","CM_Planning","CM_Plan_Content","CM_Principles"
Identification,"Baseline items; tagging & traceability","","","Specifications","Configuration_Identification","","Requirements"
Change Control,"Approve and record changes","","","Reports","Change_Control","","Implementation"
Status Accounting,"Record status of items/baselines","","","Reports","Status_Accounting","","Implementation"
Audit (FCA/PCA),"Verify configuration and documentation","","","Reports","Audit","","Implementation"
Release,"Create controlled baselines and evidence","Release_Management","","Reports","Status_Accounting","","Implementation"
Traceability,"Link Req↔Design↔Code↔Test","Requirements_Definition;Test_Process","RTM/Traceability","Information_Items","","",""
